Type of reference (TY),First Author (A1),Secondary Author (A2),Tertiary Author (A3),Subsidiary Author (A4),Abstract (AB),Author Address (AD),Accession Number (AN),Author (AU),Location in Archives (AV),This field maps to T2 for all reference types except for Whole Book and Unpublished Work references. (BT),Custom 1 (C1),Custom 2 (C2),Custom 3 (C3),Custom 4 (C4),Custom 5 (C5),Custom 6 (C6),Custom 7 (C7),Custom 8 (C8),Caption (CA),Call Number (CN),This field can contain alphanumeric characters. (CP),Title of unpublished reference (CT),Place Published (CY),Date (DA),Name of Database (DB),DOI (DO),Database Provider (DP),Editor (ED),End Page (EP),Edition (ET),Reference ID (ID),Issue number (IS),Periodical name: user abbreviation 1. (J1),Alternate Title (J2),Periodical name: standard abbreviation. (JA),Journal/Periodical name: full format. (JF),Journal/Periodical name: full format. (JO),Keywords (KW),Link to PDF. (L1),Link to Full-text. (L2),Related Records. (L3),Image(s). (L4),Language (LA),Label (LB),Website Link (LK),Number (M1),Miscellaneous 2. (M2),Type of Work (M3),Notes (N1),Abstract. (N2),Number of Volumes (NV),Original Publication (OP),Publisher (PB),Publishing Place (PP),Publication year (YYYY/MM/DD) (PY),Reviewed Item (RI),Research Notes (RN),Reprint Edition (RP),Section (SE),ISBN/ISSN (SN),Start Page (SP),Short Title (ST),Primary Title (T1),Secondary Title (T2),Tertiary Title (T3),Translated Author (TA),Title (TI),Translated Title (TT),User definable 1. (U1),User definable 2. (U2),User definable 3. (U3),User definable 4. (U4),User definable 5. (U5),URL (UR),Volume number (VL),Published Standard number (VO),Primary Date (Y1),Access Date (Y2),End of Reference (ER)
JOUR ,,,,,"The present study has been conducted in order to investigate the seasonal variation in the botanical and chemical composition of plant parts consumed by camels (Camelus dromedarius). The study has been conducted on 210 indigenous Arabian camel of different age (1-18 years) and sex and kept under natural range in southern Darfur, Sudan. The findings of the present study indicate that camels are selective browser rather than grazer. Furthermore, they are selective feeder to the parts of pasture plants they consume. The percentages of Crude Protein (CP), Crude Fibre (CF) and Nitrogen Free Extract (NFE) of pasture plants selected by camels were significantly higher, while ash percentage was significantly lower during the dry season. ",,,"Abdelatif, A. M. ",,,,,,,,,,,,,,,,Mar-15,,,,,,,28757,6,,,,,,Animals Camelus/physiology Diet Dietary Fiber/analysis Dietary Proteins/analysis Feeding Behavior/physiology Nitrogen/analysis Plants Seasons Sudan ,,,,,,,,,,,"Amin, Alia S A Abdoun, Khalid A Abdelatif, Abdalla M eng Comparative Study Research Support, Non-U.S. Gov't Pakistan 2007/03/15 00:00 Pak J Biol Sci. 2007 Mar 15;10(6):932-5. ",,,,,,2007,,,,,,932-5 ,Seasonal variation in botanical and chemical composition of plants selected by one-humped camel (Camelus dromedarius) ,,Pak J Biol Sci ,,,Seasonal variation in botanical and chemical composition of plants selected by one-humped camel (Camelus dromedarius) ,,,,,,,,10,,,,  
CHAP ,,"Kobusiewicz, M. ",,,"What material evidence there is indicates the social development in the central and southern Gezira Plain long proceeded along different lines to societies in and around the area and to the north of Khartoum (Brass, Brass and Schwenniger 2013, Edwards 1996, Fernandez et al. 2003, Sadig 2013, Salvatori 2012). The archaeology to the west and further south is less well known and the establishment of a firmer chronological and social framework for Jebel Moya would assist in anchoring future studies in the region. As the largest known cemetery locality in the region, the site provides extraordinary scope for exploring the interplay and interaction of indigenous and external cultural traditions. As such, my continuing doctoral research is into the presence of rich burials and detecting potential burial clusters, and how they may relate to indicators of institutionalised hierarchy or transient elites, while the pottery from both burial and non-burial contexts (Brass and Schwenniger 2013) may be indicative of a permissive form of social mobility and one in which a kin group's standing might be stated or enhanced through rites and social practices creating social legitimacy (Fleisher and Wynne-Jones 2010, Kohring and Wynne-Jones 2007). While there is no indication that any of the graves were of secondary use, there are instances of burials undercutting, cross-cutting or pushed up against other burials; these may be social members wanting to associate themselves for a variety of reasons (family, status association, etc). The variety and frequency of bodily orientations are not reflective of different temporal periods (contra Gerharz 1994) and may not necessarily be reflective of different groups per say burying their dead at the same locality, but rather it may be due to variable cultural traditions within a particular area. ",,,"Brass, M. ",,,,,,,,,,,,,,,Poznań (PL) ,,,,,,,,19393,,,,,,,,,,,,eng ,,,,,,"Chlodnicki, Marek Kabacinski, Jacek Kobusiewicz, Michal Brass, Michael 090865/Wellcome Trust/United Kingdom Review Book Chapter ",,,,,,2015,,,,,9.78836E+12,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,Hunter-gatherers and Early Food Producing Societies in Northeastern Africa ,Wellcome Trust–Funded Monographs and Book Chapters ,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/27359026 ,,,,,  
CHAP ,,"Kobusiewicz, M. ",,,"What material evidence there is indicates the social development in the central and southern Gezira Plain long proceeded along different lines to societies in and around the area and to the north of Khartoum (Brass, Brass and Schwenniger 2013, Edwards 1996, Fernandez et al. 2003, Sadig 2013, Salvatori 2012). The archaeology to the west and further south is less well known and the establishment of a firmer chronological and social framework for Jebel Moya would assist in anchoring future studies in the region. As the largest known cemetery locality in the region, the site provides extraordinary scope for exploring the interplay and interaction of indigenous and external cultural traditions. As such, my continuing doctoral research is into the presence of rich burials and detecting potential burial clusters, and how they may relate to indicators of institutionalised hierarchy or transient elites, while the pottery from both burial and non-burial contexts (Brass and Schwenniger 2013) may be indicative of a permissive form of social mobility and one in which a kin group's standing might be stated or enhanced through rites and social practices creating social legitimacy (Fleisher and Wynne-Jones 2010, Kohring and Wynne-Jones 2007). While there is no indication that any of the graves were of secondary use, there are instances of burials undercutting, cross-cutting or pushed up against other burials; these may be social members wanting to associate themselves for a variety of reasons (family, status association, etc). The variety and frequency of bodily orientations are not reflective of different temporal periods (contra Gerharz 1994) and may not necessarily be reflective of different groups per say burying their dead at the same locality, but rather it may be due to variable cultural traditions within a particular area. ",,,"Brass, M. ",,,,,,,,,,,,,,,Poznań (PL) ,,,,,,,,19393,,,,,,,,,,,,eng ,,,,,,"Chlodnicki, Marek Kabacinski, Jacek Kobusiewicz, Michal Brass, Michael 090865/Wellcome Trust/United Kingdom Review Book Chapter ",,,,,,2015,,,,,9.78836E+12,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,Hunter-gatherers and Early Food Producing Societies in Northeastern Africa ,Wellcome Trust–Funded Monographs and Book Chapters ,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/27359026 ,,,,,  
CHAP ,,"Baron, S. ",,,"Filoviruses were first discovered in 1967 as the causative agents of a hemorrhagic fever outbreak among laboratory workers in Europe. These workers had been exposed to tissues and blood from African green monkeys (Cercopithecus aethiops) imported from Uganda and infected with Marburg virus. Since then, sporadic cases of Marburg hemorrhagic fever in man have occurred in Kenya and Zimbabwe (Table 72-1). Ebola hemorrhagic fever was first reported from northern Zaire and southern Sudan in 1976 when two distinct subtypes were isolated during simultaneous epidemics. Ebola Sudan reemerged in 1979 at the same location, causing a smaller epidemic of viral hemorrhagic fever. The third subtype (Reston) was isolated from cynomolgus monkeys (Macaca fascicularis) imported from the Philippines into the United States in 1989 and into Italy in 1992. Another distinct Ebola virus emerged on the Ivory Coast in 1994. The virus was isolated from a nonfatal case, in which a worker was infected during the autopsy of a wild chimpanzee. Recently Ebola reemerged in southwestern Zaire in the city of Kikwit and the surrounding villages in Bandundu Province. The isolated virus was closely related to the 1976 Zairian isolate, and the outbreak in these regions resembled the previous Ebola hemorrhagic fever epidemics (Table 72-1). ",,,"Klenk, H. D. ",,,,,,,,,,,,,,,Galveston (TX) ,,,,,,,4th ,20893,,,,,,,,,,,,eng ,,,,,,"Baron, Samuel Feldmann, Heinz Klenk, Hans-Dieter Review Book Chapter ",,,,,,1996,,,,,963117211,,Filoviruses ,,Medical Microbiology ,,,Filoviruses ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/21413301 ,,,,,  
CHAP ,,"Kobusiewicz, M. ",,,"What material evidence there is indicates the social development in the central and southern Gezira Plain long proceeded along different lines to societies in and around the area and to the north of Khartoum (Brass, Brass and Schwenniger 2013, Edwards 1996, Fernandez et al. 2003, Sadig 2013, Salvatori 2012). The archaeology to the west and further south is less well known and the establishment of a firmer chronological and social framework for Jebel Moya would assist in anchoring future studies in the region. As the largest known cemetery locality in the region, the site provides extraordinary scope for exploring the interplay and interaction of indigenous and external cultural traditions. As such, my continuing doctoral research is into the presence of rich burials and detecting potential burial clusters, and how they may relate to indicators of institutionalised hierarchy or transient elites, while the pottery from both burial and non-burial contexts (Brass and Schwenniger 2013) may be indicative of a permissive form of social mobility and one in which a kin group's standing might be stated or enhanced through rites and social practices creating social legitimacy (Fleisher and Wynne-Jones 2010, Kohring and Wynne-Jones 2007). While there is no indication that any of the graves were of secondary use, there are instances of burials undercutting, cross-cutting or pushed up against other burials; these may be social members wanting to associate themselves for a variety of reasons (family, status association, etc). The variety and frequency of bodily orientations are not reflective of different temporal periods (contra Gerharz 1994) and may not necessarily be reflective of different groups per say burying their dead at the same locality, but rather it may be due to variable cultural traditions within a particular area. ",,,"Brass, M. ",,,,,,,,,,,,,,,Poznań (PL) ,,,,,,,,19393,,,,,,,,,,,,eng ,,,,,,"Chlodnicki, Marek Kabacinski, Jacek Kobusiewicz, Michal Brass, Michael 090865/Wellcome Trust/United Kingdom Review Book Chapter ",,,,,,2015,,,,,9.78836E+12,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,Hunter-gatherers and Early Food Producing Societies in Northeastern Africa ,Wellcome Trust–Funded Monographs and Book Chapters ,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/27359026 ,,,,,  
CHAP ,,"Baron, S. ",,,"Filoviruses were first discovered in 1967 as the causative agents of a hemorrhagic fever outbreak among laboratory workers in Europe. These workers had been exposed to tissues and blood from African green monkeys (Cercopithecus aethiops) imported from Uganda and infected with Marburg virus. Since then, sporadic cases of Marburg hemorrhagic fever in man have occurred in Kenya and Zimbabwe (Table 72-1). Ebola hemorrhagic fever was first reported from northern Zaire and southern Sudan in 1976 when two distinct subtypes were isolated during simultaneous epidemics. Ebola Sudan reemerged in 1979 at the same location, causing a smaller epidemic of viral hemorrhagic fever. The third subtype (Reston) was isolated from cynomolgus monkeys (Macaca fascicularis) imported from the Philippines into the United States in 1989 and into Italy in 1992. Another distinct Ebola virus emerged on the Ivory Coast in 1994. The virus was isolated from a nonfatal case, in which a worker was infected during the autopsy of a wild chimpanzee. Recently Ebola reemerged in southwestern Zaire in the city of Kikwit and the surrounding villages in Bandundu Province. The isolated virus was closely related to the 1976 Zairian isolate, and the outbreak in these regions resembled the previous Ebola hemorrhagic fever epidemics (Table 72-1). ",,,"Klenk, H. D. ",,,,,,,,,,,,,,,Galveston (TX) ,,,,,,,4th ,20893,,,,,,,,,,,,eng ,,,,,,"Baron, Samuel Feldmann, Heinz Klenk, Hans-Dieter Review Book Chapter ",,,,,,1996,,,,,963117211,,Filoviruses ,,Medical Microbiology ,,,Filoviruses ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/21413301 ,,,,,  
CHAP ,,"Kobusiewicz, M. ",,,"What material evidence there is indicates the social development in the central and southern Gezira Plain long proceeded along different lines to societies in and around the area and to the north of Khartoum (Brass, Brass and Schwenniger 2013, Edwards 1996, Fernandez et al. 2003, Sadig 2013, Salvatori 2012). The archaeology to the west and further south is less well known and the establishment of a firmer chronological and social framework for Jebel Moya would assist in anchoring future studies in the region. As the largest known cemetery locality in the region, the site provides extraordinary scope for exploring the interplay and interaction of indigenous and external cultural traditions. As such, my continuing doctoral research is into the presence of rich burials and detecting potential burial clusters, and how they may relate to indicators of institutionalised hierarchy or transient elites, while the pottery from both burial and non-burial contexts (Brass and Schwenniger 2013) may be indicative of a permissive form of social mobility and one in which a kin group's standing might be stated or enhanced through rites and social practices creating social legitimacy (Fleisher and Wynne-Jones 2010, Kohring and Wynne-Jones 2007). While there is no indication that any of the graves were of secondary use, there are instances of burials undercutting, cross-cutting or pushed up against other burials; these may be social members wanting to associate themselves for a variety of reasons (family, status association, etc). The variety and frequency of bodily orientations are not reflective of different temporal periods (contra Gerharz 1994) and may not necessarily be reflective of different groups per say burying their dead at the same locality, but rather it may be due to variable cultural traditions within a particular area. ",,,"Brass, M. ",,,,,,,,,,,,,,,Poznań (PL) ,,,,,,,,19393,,,,,,,,,,,,eng ,,,,,,"Chlodnicki, Marek Kabacinski, Jacek Kobusiewicz, Michal Brass, Michael 090865/Wellcome Trust/United Kingdom Review Book Chapter ",,,,,,2015,,,,,9.78836E+12,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,Hunter-gatherers and Early Food Producing Societies in Northeastern Africa ,Wellcome Trust–Funded Monographs and Book Chapters ,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/27359026 ,,,,,  
CHAP ,,"Kobusiewicz, M. ",,,"What material evidence there is indicates the social development in the central and southern Gezira Plain long proceeded along different lines to societies in and around the area and to the north of Khartoum (Brass, Brass and Schwenniger 2013, Edwards 1996, Fernandez et al. 2003, Sadig 2013, Salvatori 2012). The archaeology to the west and further south is less well known and the establishment of a firmer chronological and social framework for Jebel Moya would assist in anchoring future studies in the region. As the largest known cemetery locality in the region, the site provides extraordinary scope for exploring the interplay and interaction of indigenous and external cultural traditions. As such, my continuing doctoral research is into the presence of rich burials and detecting potential burial clusters, and how they may relate to indicators of institutionalised hierarchy or transient elites, while the pottery from both burial and non-burial contexts (Brass and Schwenniger 2013) may be indicative of a permissive form of social mobility and one in which a kin group's standing might be stated or enhanced through rites and social practices creating social legitimacy (Fleisher and Wynne-Jones 2010, Kohring and Wynne-Jones 2007). While there is no indication that any of the graves were of secondary use, there are instances of burials undercutting, cross-cutting or pushed up against other burials; these may be social members wanting to associate themselves for a variety of reasons (family, status association, etc). The variety and frequency of bodily orientations are not reflective of different temporal periods (contra Gerharz 1994) and may not necessarily be reflective of different groups per say burying their dead at the same locality, but rather it may be due to variable cultural traditions within a particular area. ",,,"Brass, M. ",,,,,,,,,,,,,,,Poznań (PL) ,,,,,,,,19393,,,,,,,,,,,,eng ,,,,,,"Chlodnicki, Marek Kabacinski, Jacek Kobusiewicz, Michal Brass, Michael 090865/Wellcome Trust/United Kingdom Review Book Chapter ",,,,,,2015,,,,,9.78836E+12,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,Hunter-gatherers and Early Food Producing Societies in Northeastern Africa ,Wellcome Trust–Funded Monographs and Book Chapters ,,"Mortuary Theory, Pottery and Social Complexity at Jebel Moya Cemetery, South-Central Sudan ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/27359026 ,,,,,  
JOUR ,,,,,,,,"Bray, H. A. ",,,,,,,,,,,,,,,,1904,,,,,,,597,,,,,,,Chicken Pox Pox Disease ,,,,,,,,,,,,,,,,,1904,,,,,,,Chicken Pox ,,J Roy Army Med Corps ,,,Chicken Pox ,,,,,,,,October ,,,,  
JOUR ,,,,,"Adult immunocompetent mice inoculated with Ebola (EBO) or Marburg (MBG) virus do not become ill. A suckling-mouse-passaged variant of EBO Zaire '76 ('mouse-adapted EBO-Z') causes rapidly lethal infection in adult mice after intraperitoneal (i.p.) inoculation, but does not cause apparent disease when inoculated subcutaneously (s.c.). A series of experiments showed that both forms of resistance to infection are mediated by the Type I interferon response. Mice lacking the cell-surface IFN-alpha/beta receptor died within a week after inoculation of EBO-Z '76, EBO Sudan, MBG Musoke or MBG Ravn, or after s.c. challenge with mouse-adapted EBO-Z. EBO Reston and EBO Ivory Coast did not cause illness, but immunized the mice against subsequent challenge with mouse-adapted EBO-Z. Normal adult mice treated with antibodies against murine IFN-alpha/beta could also be lethally infected with i.p.-inoculated EBO-Z '76 or EBO Sudan and with s.c.-inoculated mouse-adapted EBO-Z. Severe combined immunodeficient (SCID) mice became ill 3-4 weeks after inoculation with EBO-Z '76, EBO Sudan or MBG Ravn, but not the other viruses. Treatment with anti-IFN-alpha/beta antibodies markedly accelerated the course of EBO-Z '76 infection. Antibody treatment blocked the effect of a potent antiviral drug, 3-deazaneplanocin A, indicating that successful filovirus therapy may require the active participation of the Type I IFN response. Mice lacking an IFN-alpha/beta response resemble primates in their susceptibility to rapidly progressive, overwhelming filovirus infection. The outcome of filovirus transfer between animal species appears to be determined by interactions between the virus and the innate immune response. ",,,"Bray, M ",,,,,,,,,,,,,,,,Jun ,,,,,,23/05/2001,12527,Pt 6 ,,The Journal of general virology ,,,,"Adenosine/analogs & derivatives/therapeutic use  , Suckling/immunology/virology Antibodies/immunology Antiviral Agents/therapeutic use DNA-Binding Proteins/genetics/metabolism Disease Susceptibility/immunology Filoviridae/immunology/pathogenicity Filoviridae Infections/drug therapy/immunology/virology Gene Deletion Immunization Injections, Intraperitoneal Injections, Subcutaneous Interferon Type I/genetics/immunology Membrane Proteins Mice Mice, Inbred BALB C Mice, Inbred Strains Mice, Knockout Mice, SCID Receptor, Interferon alpha-beta Receptors, Interferon/genetics/immunology/metabolism STAT1 Transcription Factor Species Specificity Survival Rate Trans-Activators/genetics/metabolism Virulence/genetics Weight Loss ",,,,,,,,,,,,,,,,,2001,,,,,0022-1317 (Print) 0022-1317 ,1365-73 ,The role of the Type I interferon response in the resistance of mice to filovirus infection ,,J Gen Virol ,,,The role of the Type I interferon response in the resistance of mice to filovirus infection ,,,,,,,,82,,,,  
JOUR ,,,,,,,,"Murphy, FA ",,,,,,,,,,,,,,,,Nov-15,,,,,,06/12/2007,12528,,,The Journal of infectious diseases ,,,," Democratic Republic of the Congo/epidemiology Filoviridae/pathogenicity Filoviridae Infections/prevention & control Hemorrhagic Fever, Ebola/epidemiology/prevention & control  Marburg Virus Disease/epidemiology/prevention & control Research/trends Sudan/epidemiology ",,,,,,,,,,,,,,,,,2007,,,,,0022-1899 (Print) 0022-1899 ,S438-43 ,Filovirus research: knowledge expands to meet a growing threat ,,J Infect Dis ,,,Filovirus research: knowledge expands to meet a growing threat ,,,,,,,,196 Suppl 2 ,,,,  
JOUR ,,,,,,,,"Murphy, F. A. ",,,,,,,,,,,,,,,,Nov-15,,,,,,,19397,,,,,,,"Animals Democratic Republic of the Congo/epidemiology Filoviridae/pathogenicity Filoviridae Infections/prevention & control Hemorrhagic Fever, Ebola/epidemiology/prevention & control Humans Marburg Virus Disease/epidemiology/prevention & control Research/trends Sudan/epidemiology ",,,,,,,,,,,"Bray, Mike Murphy, Frederick A eng Research Support, N.I.H., Extramural Research Support, Non-U.S. Gov't 2007/12/06 09:00 J Infect Dis. 2007 Nov 15;196 Suppl 2:S438-43. ",,,,,,2007,,,,,0022-1899 (Print) 0022-1899 (Linking) ,S438-43 ,Filovirus research: knowledge expands to meet a growing threat ,,J Infect Dis ,,,Filovirus research: knowledge expands to meet a growing threat ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/17940981 ,196 Suppl 2 ,,,,  
JOUR ,,,,,,,,"Bray, R. S. ",,,,,,,,,,,,,,,,Jan ,,,,,,01/01/1972,12529,1,,British medical bulletin ,,,," Anemia/complications  Antibodies Antimony/therapeutic use Carrier State Climate Disease Reservoirs Erythromycin Ethylsuccinate/therapeutic use  Immunoglobulin G India Insect Vectors Leishmania/isolation & purification Leishmaniasis/drug therapy/epidemiology/immunology Leishmaniasis, Visceral Mice Phlebotomus Serum Albumin Sudan ",,,,,,,,,,,,,,,,,1972,,,,,0007-1420 (Print) 0007-1420 ,39-43 ,Leishmaniasis in the Old World ,,Br Med Bull ,,,Leishmaniasis in the Old World ,,,,,,,,28,,,,  
JOUR ,,,,,,,,"Bray, W ",,,,,,,,,,,,,,,,1904,,,,,,,598,,,,,,,Southern Sudan ,,,,,,,,,,,,,,,,,1904,,,,,,369,"The Southern Sudan, its climate and diseases ",,J Roy Army  Med Corps ,,,"The Southern Sudan, its climate and diseases ",,,,,,,,3,,,,  
JOUR ,,,,,"The relationship between lipid serum levels and coronary atherosclerotic plaque fat content was studied in 51 necropsy patients. Serum lipids were measured by standard techniques, during life, in the absence of lipid-lowering drugs. Intima, intimal fat and media areas were measured using a computerized system in cryosections of the odd segments of the right, anterior descending and circumflex coronary arteries stained with Sudan-IV. Mean intimal and lipid areas were 5.74 +/- 1.98 and 1.22 +/- 0.55 mm2 (22.12 +/- 8.48%) in 26 cases with high cholesterol (>or=200 mg/dL) and 4.98 +/- 1.94 and 1.16 +/- 0.66 mm2 (22.75 +/- 9.06%) in 25 cases with normal cholesterol (<200 mg/dL; P > 0.05). Patients with high levels of low-density lipoprotein (>or=130 mg/dL, N = 15) had a higher intima/media area ratio than those with normal levels of low-density lipoprotein (<130 mg/dL, N = 13, P < 0.01). No significant difference in the morphometrical variables was found in groups with high or low serum levels of triglycerides (>or=200 mg/dL, N = 13 vs <200 mg/dL, N = 36) or high-density lipoprotein (>or=35 mg/dL, N = 11 vs <35 mg/dL, N = 17). The association between the morphological measurements and serum levels of cholesterol, its fractions, and triglycerides was also tested and the correlation coefficients were low. Although high cholesterol is a risk factor, we show here that in patients with severe atherosclerosis blood cholesterol and triglyceride levels seem to have little influence on coronary lipid content, indicating that other factors may contribute to arterial lipid deposition and plaque formation. ",,,"da Luz, P. L. ",,,,,,,,,,,,,,,,Apr ,,,,,,03/04/2007,12530,4,,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas / Sociedade Brasileira de Biofisica ... [et al.] ,,,, Aged  Atherosclerosis/blood/pathology Coronary Vessels/chemistry/pathology   Lipids/blood  Middle Aged Risk Factors Severity of Illness Index ,,,,,,,,,,,,,,,,,2007,,,,,0100-879X (Print) 0100-879x ,467-73 ,Coronary fat content evaluated by morphometry in patients with severe atherosclerosis has no relation with serum lipid levels ,,Braz J Med Biol Res ,,,Coronary fat content evaluated by morphometry in patients with severe atherosclerosis has no relation with serum lipid levels ,,,,,,,,40,,,,  
JOUR ,,,,,"The relationship between lipid serum levels and coronary atherosclerotic plaque fat content was studied in 51 necropsy patients. Serum lipids were measured by standard techniques, during life, in the absence of lipid-lowering drugs. Intima, intimal fat and media areas were measured using a computerized system in cryosections of the odd segments of the right, anterior descending and circumflex coronary arteries stained with Sudan-IV. Mean intimal and lipid areas were 5.74 +/- 1.98 and 1.22 +/- 0.55 mm2 (22.12 +/- 8.48%) in 26 cases with high cholesterol (>or=200 mg/dL) and 4.98 +/- 1.94 and 1.16 +/- 0.66 mm2 (22.75 +/- 9.06%) in 25 cases with normal cholesterol (<200 mg/dL; P > 0.05). Patients with high levels of low-density lipoprotein (>or=130 mg/dL, N = 15) had a higher intima/media area ratio than those with normal levels of low-density lipoprotein (<130 mg/dL, N = 13, P < 0.01). No significant difference in the morphometrical variables was found in groups with high or low serum levels of triglycerides (>or=200 mg/dL, N = 13 vs <200 mg/dL, N = 36) or high-density lipoprotein (>or=35 mg/dL, N = 11 vs <35 mg/dL, N = 17). The association between the morphological measurements and serum levels of cholesterol, its fractions, and triglycerides was also tested and the correlation coefficients were low. Although high cholesterol is a risk factor, we show here that in patients with severe atherosclerosis blood cholesterol and triglyceride levels seem to have little influence on coronary lipid content, indicating that other factors may contribute to arterial lipid deposition and plaque formation. ",,,"da Luz, P. L. ",,,,,,,,,,,,,,,,Apr ,,,,,,,19399,4,,,,,,"Adult Aged Aged, 80 and over Atherosclerosis/blood/pathology Coronary Vessels/chemistry/pathology Female Humans Lipids/blood Male Middle Aged Risk Factors Severity of Illness Index ",,,,,,,,,,,"Braz, D J Jr Gutierrez, P S da Luz, P L eng Research Support, Non-U.S. Gov't Brazil 2007/04/03 09:00 Braz J Med Biol Res. 2007 Apr;40(4):467-73. ",,,,,,2007,,,,,0100-879X (Print) 0100-879X (Linking) ,467-73 ,Coronary fat content evaluated by morphometry in patients with severe atherosclerosis has no relation with serum lipid levels ,,Braz J Med Biol Res ,,,Coronary fat content evaluated by morphometry in patients with severe atherosclerosis has no relation with serum lipid levels ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/17401489 ,40,,,,  
JOUR ,,,,,,,,"Bres, P ",,,,Pmc2395566 ,,,,,,,,,,,,,,,,,,01/01/1978,12533,2,,Bulletin of the World Health Organization ,,,,"Democratic Republic of the Congo Disease Outbreaks Hemorrhagic Fevers, Viral/epidemiology  International Cooperation Rhabdoviridae/isolation & purification Sudan ",,,,,,,,,,,,,,,,,1978,,,,,0042-9686 (Print) 0042-9686 ,245,"The epidemic of Ebola haemorrhagic fever in Sudan and Zaire, 1976: introductory note] ",,Bull World Health Organ ,,,"The epidemic of Ebola haemorrhagic fever in Sudan and Zaire, 1976: introductory note] ",,,,,,,,56,,,,  
JOUR ,,,,,,,,"Kotton, CN ",,,,,,,,,,,,,,,,Jul-27,,,,,,17/07/2013,12536,2,,Transplantation ,,,," Budd-Chiari Syndrome/immunology/surgery End Stage Liver Disease/immunology/surgery Hepatitis B, Chronic/immunology/surgery  Liver Transplantation  Parasitic Diseases/immunology Sudan/ethnology United States   ",,,,,,,,,,,,,,,,,2013,,,,,0041-1337 ,e7-9 ,"Two ""lost boys of Sudan"" undergo liver transplantation: infectious disease issues ",,Transplantation ,,,"Two ""lost boys of Sudan"" undergo liver transplantation: infectious disease issues ",,,,,,,,96,,,,  
JOUR ,,,,,,,,"Kotton, C. N. ",,,,,,,,,,,,,,,,Jul-27,,,,,,,19401,2,,,,,,"Adult Budd-Chiari Syndrome/immunology/surgery End Stage Liver Disease/immunology/surgery Hepatitis B, Chronic/immunology/surgery Humans Liver Transplantation Male Parasitic Diseases/immunology Sudan/ethnology United States Young Adult ",,,,,,,,,,,"Briant, Judith A Kotton, Camille N eng Case Reports Letter 2013/07/17 06:00 Transplantation. 2013 Jul 27;96(2):e7-9. doi: 10.1097/TP.0b013e318297ae0e. ",,,,,,2013,,,,,1534-6080 (Electronic) 0041-1337 (Linking) ,e7-9 ,"Two ""lost boys of Sudan"" undergo liver transplantation: infectious disease issues ",,Transplantation ,,,"Two ""lost boys of Sudan"" undergo liver transplantation: infectious disease issues ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/23857005 ,96,,,,  
JOUR ,,,,,,,,"Bridel, Jacqueline ",,,,,,,,,,,,,,,,,,,,,,,16408,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,Study of Indigenous Plants and Non-Timber Products as Related to Traditional Medicine in the Nuba Mountains and Southern Blue Nile Region of South Sudan ,,"Washington: USAID-USDA PASA & International Agriculture Programs, University of Missouri ",,,Study of Indigenous Plants and Non-Timber Products as Related to Traditional Medicine in the Nuba Mountains and Southern Blue Nile Region of South Sudan ,,,,,,,,,,,,  
